vehID Standort Dep/Arr Uhrzeit(Ist) Status(Depot/Umlauf)
72 118 1 483 1
72 118 0 483 1
70 7 1 484 1
70 7 0 484 1
84 96 1 484 1
84 96 0 484 1
72 44 1 484 1
72 44 0 484 1
44 82 1 485 1
44 82 0 485 1
35 15 1 485 1
35 15 0 485 1
85 0 1 485 1
85 0 0 485 1
73 15 1 485 1
73 15 0 485 1
7 78 1 486 1
7 78 0 486 1
83 58 1 487 1
83 58 0 487 1
58 66 1 487 1
58 66 0 487 1
74 10 1 488 1
74 10 0 488 1
49 52 1 488 1
49 52 0 488 1
11 69 1 489 1
11 69 0 489 1
33 56 1 489 1
33 56 0 489 1
